racking,First-name,Name,Nationality,Position,age,tall(m),weight,start_career,club,Tournament,club-match,club_W,club_D,club_L,club_starter,club_try,club_points,club_Min,other club tournament,other-match,other_W,other_D,other_L,other_starter,other_try,other_points,other_Min,National_match,National_W,National_D,National_L,National_starter,National_try,National_Points,National_min,yellow card,red card,Salary,full_name,Age,Height,Weight
45.0,Peter,O�Mahony,Ireland,Backrow ,34.0,1.91,108.0,2012.0,Munster Rugby,United Rugby Championship,8.0,7.0,0.0,1.0,8.0,0.0,0.0,392.0,champions cup,3.0,1.0,0.0,2.0,3.0,1.0,5.0,183.0,13.0,10.0,0.0,3.0,11.0,2.0,10.0,717.0,3,0,275000,Peter O�Mahony,,,
46.0,Julian,Montoya,Argentine,Hooker,30.0,1.83,113.0,2015.0,Leicester,Premiership,11.0,7.0,0.0,4.0,11.0,3.0,15.0,738.0,champions cup,4.0,1.0,0.0,3.0,4.0,0.0,0.0,301.0,10.0,4.0,0.0,6.0,10.0,0.0,0.0,641.0,0,0,170000,Julian Montoya,,,
47.0,Lukhayno,Am,South Africa,Hooker,30.0,1.86,93.0,2015.0,sharks,United Rugby Championship,10.0,4.0,0.0,6.0,10.0,2.0,10.0,757.0,Challenge Cup,7.0,6.0,0.0,1.0,7.0,4.0,20.0,539.0,3.0,3.0,0.0,0.0,3.0,1.0,5.0,200.0,0,0,225000,Lukhayno Am,,,
48.0,Jack,Willis,England,Backrow ,27.0,1.9,112.0,2016.0,Wasps,Top 14,14.0,9.0,1.0,4.0,11.0,3.0,15.0,781.0,champions cup,6.0,6.0,0.0,0.0,5.0,1.0,5.0,418.0,4.0,2.0,0.0,2.0,2.0,1.0,5.0,191.0,1,0,325000,Jack Willis,,,
49.0,Ange,Capuozzo,Italy,Utility Back,25.0,1.78,82.0,2022.0,Stade Toulousain,Top 14,12.0,8.0,1.0,3.0,9.0,6.0,30.0,761.0,champions cup,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,7.0,1.0,3.0,11.0,6.0,30.0,802.0,0,0,325000,Ange Capuozzo,,,
50.0,Sam,Underhill,England,Backrow ,28.0,1.91,110.0,2014.0,Bath Rugby,Premiership,11.0,8.0,0.0,3.0,11.0,0.0,0.0,759.0,champions cup,2.0,1.0,0.0,1.0,2.0,0.0,0.0,150.0,9.0,5.0,0.0,4.0,8.0,1.0,5.0,186.0,0,0,170000,Sam Underhill,,,
51.0,Gregory,Alldritt,France,Backrow,27.0,1.91,114.0,2004.0,Stade Rochelais,Top 14,12.0,7.0,1.0,4.0,10.0,2.0,10.0,826.0,champions cup,4.0,3.0,0.0,1.0,4.0,1.0,5.0,320.0,10.0,8.0,0.0,2.0,10.0,0.0,0.0,687.0,0,0,500000,Gregory Alldritt,,,
52.0,Mark,Telea,New Zealand,Winger ,27.0,1.86,94.0,2018.0,Blues,Super Rugby Pacific,15.0,13.0,0.0,2.0,15.0,9.0,45.0,1180.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,4.0,8.0,6.0,30.0,631.0,0,0,250000,Mark Telea,,,
53.0,Peato,Mauvaka,France,Hooker,27.0,1.8,112.0,2013.0,Stade Toulousain,Top 14,12.0,9.0,1.0,2.0,6.0,5.0,25.0,512.0,champions cup,8.0,8.0,0.0,0.0,8.0,5.0,25.0,445.0,13.0,9.0,1.0,3.0,7.0,4.0,20.0,619.0,1,0,325000,Peato Mauvaka,,,
54.0,Waisea,Nayacalevu,Fiji,Center ,34.0,1.93,105.0,2012.0,Rugby Club Toulonnais,top14,7.0,4.0,0.0,3.0,6.0,0.0,0.0,496.0,champions cup,2.0,0.0,0.0,2.0,2.0,0.0,0.0,146.0,8.0,4.0,0.0,4.0,8.0,3.0,15.0,615.0,0,0,300000,Waisea Nayacalevu,,,
55.0,Joe,McCarthy,Ireland,Secondrow,23.0,1.98,119.0,2021.0,Leinster Rugby,United Rugby Championship,8.0,6.0,0.0,2.0,8.0,0.0,0.0,550.0,champions cup,8.0,7.0,0.0,1.0,7.0,1.0,5.0,574.0,11.0,8.0,0.0,3.0,9.0,1.0,5.0,653.0,1,0,275000,Joe McCarthy,,,
56.0,Willie,Le-Roux,South Africa,Fullback ,35.0,1.84,92.0,2013.0,Bulls,United Rugby Championship,14.0,11.0,0.0,3.0,13.0,2.0,10.0,973.0,champions cup,3.0,0.0,0.0,3.0,3.0,2.0,10.0,204.0,10.0,9.0,0.0,1.0,6.0,2.0,10.0,254.0,0,0,225000,Willie Le-Roux,,,
57.0,Marcos,Kremer,Argentina,Backrow,27.0,1.95,115.0,2015.0,ASM Clermont Auvergne,top14,18.0,8.0,1.0,9.0,16.0,0.0,0.0,1265.0,Challenge Cup,3.0,1.0,0.0,2.0,3.0,0.0,0.0,240.0,13.0,8.0,0.0,5.0,13.0,1.0,5.0,900.0,1,0,250000,Marcos Kremer,,,
